tweet,user,location,date
"@x_ajdin773_x @yeahMFyeah @cta Because there’s the risk of the daily “door problem at Jarvis” issue, leaving the do… https://t.co/ysDVPo4s9a",cta_oh,,2019-11-08 15:30:41
@cta is the blue line at O’Hare up and running again? Or are there shuttles still taking passengers to Rosemont stop? #thanks,legordonblue15,,2019-11-08 15:30:14
@cta @egoldberg10 SEEMS?!?!,cta_oh,,2019-11-08 15:29:20
@thuggins @cta EARLY COMPLETION OF PLANNED WORK which means bus drivers didn’t know it finished early,x_ajdin773_x,"Chicago, IL",2019-11-08 15:28:37
@yeahMFyeah @cta Lmao!!!! Why did you just stand there 🤣you could’ve took the red line if one purple line didn’t sh… https://t.co/cesznowGZa,x_ajdin773_x,"Chicago, IL",2019-11-08 15:27:09
"@cta @byldonovan It's nice to know that 2 of my favorite Tribune writers are nice people, too!",tcm731,,2019-11-08 15:24:16
@almightym00n @cta I cannot with you 😂,poquitititoLOCO,"Champaign, IL",2019-11-08 15:10:01
On the @Cta red line https://t.co/XU3QWsihyr,vietvet52,HERE  #EatTheRich  #ITMFA ,2019-11-08 15:05:59
@almightym00n @cta BOY IF YOU DON'T CONNECT YO ASS TO A VPN!,poquitititoLOCO,"Champaign, IL",2019-11-08 15:05:24
RT @cta: [Major Delays] 95th-bound Red Line trains are running with delays from congestion after earlier police activity at Jarvis. Crews w…,transit_tweets,,2019-11-08 15:02:52
RT @cta: [Significant Delays] 95th-bound Red Line trains are standing at Belmont due to a police activity. Crews  working  to restore servi…,transit_tweets,,2019-11-08 14:55:43
RT @cta: [Major Delays] 95th-bound Red Line trains are running with delays from congestion after earlier police activity at Jarvis. Crews w…,WGNtraffic,"Chicago, IL",2019-11-08 14:55:03
@cta You replied to the wrong tweet. I was there @ 8:14 am and no purple line showed up. Please review you data and… https://t.co/ytDCPGAoki,yeahMFyeah,"Chicago, IL",2019-11-08 14:51:53
RT @cta: [Significant Delays] 95th-bound Red Line trains are standing at Belmont due to a police activity. Crews  working  to restore servi…,_alicely,"Chicago, IL",2019-11-08 14:51:44
"I'm at @CTA - Bryn Mawr in Chicago, IL https://t.co/IjdPVSRDkc",vietvet52,HERE  #EatTheRich  #ITMFA ,2019-11-08 14:51:02
@SpicyOMalliger @cta Honestly two consecutive morning commutes without any issues would be nice. Can’t imagine it ever happening though.,egoldberg10,,2019-11-08 14:50:13
@cta @egoldberg10 This doesn’t seem to be a recurring problem. This *is* a recurring problem. Stop trying to justif… https://t.co/fYcBUHICcu,feentweets,"Chicago, IL",2019-11-08 14:49:54
@cta My challenge to the cta: get me to work and home every day for a 5 day work week without a delay.,SpicyOMalliger,Chicago,2019-11-08 14:46:16
RT @cta: [Significant Delays] 95th-bound Red Line trains are standing at Belmont due to a police activity. Crews  working  to restore servi…,mpbarbarie,,2019-11-08 14:45:45
"RT @PeterNickeas: An on-duty @cta bus driver was stomped and robbed yesterday about 6:50 p.m. near 55/Drexel. Verbal altercation that ""turn…",EricTendian,"Chicago, IL 60607",2019-11-08 14:44:32
RT @amfonte: @cta This happens most often when it’s cold. Which makes us believe that the “mechanical issues” the CTA has are weather relat…,transit_tweets,,2019-11-08 14:43:11
@cta your bus schedule on Diversey blows #inconsistent #unpredictable #ImCold #PleaseDoBetter,kelsss_13,,2019-11-08 14:40:23
"@cta Every day this week! 

Sad!",jbertke0,"Chicago, IL",2019-11-08 14:39:14
@cta No purple line arrived between 8:08am and 8:20am. It’s below freezing temp. I def would have got on if a train showed up @ 8:14am.,yeahMFyeah,"Chicago, IL",2019-11-08 14:36:48
RT @cta: [Minor Delays] Loop 'L' trains are standing near Library due to a train in emergency. Crews working to restore service.,l7ostangel,Anderson Indiana,2019-11-08 14:35:01
@cta Why does the blue line shuttle still exist then? Would’ve loved for someone to tell me this morning.....,thuggins,"Chicago, IL",2019-11-08 14:33:29
@cta This happens most often when it’s cold. Which makes us believe that the “mechanical issues” the CTA has are we… https://t.co/5S4CnEXD07,amfonte,"Chicago, IL",2019-11-08 14:33:05
@cta @anniehinton heads up,k_montag427,,2019-11-08 14:32:22
@cta To Loop,yeahMFyeah,"Chicago, IL",2019-11-08 14:31:16
@cta bus route 80 heading W on Irving just blew past 5 of us waiting at Irving &amp; St Louis. We’re staying right unde… https://t.co/1vy8W7cZzz,kirbaqueen,,2019-11-08 14:30:58
RT @egoldberg10: @cta why does this happen every freaking day,transit_tweets,,2019-11-08 14:30:25
