,Station_ID,Station_Name_x,Station_Name_y
0,40830,18th,18th
1,40830,18th,18th
2,41120,35-Bronzeville-IIT,35th-Bronzeville-IIT
3,41120,35-Bronzeville-IIT,35th-Bronzeville-IIT
4,40120,35th-Archer,35th-Archer
5,40120,35th-Archer,35th-Archer
6,41270,43rd,43rd
7,41270,43rd,43rd
8,41230,47th-Dan Ryan,47th
9,41230,47th-Dan Ryan,47th
10,41080,47th-South Elevated,47th
11,41080,47th-South Elevated,47th
12,40130,51st,51st
13,40130,51st,51st
14,40580,54th-Cermak,54th-Cermak
15,40580,54th-Cermak,54th-Cermak
16,40910,63rd-Dan Ryan,63rd
17,40910,63rd-Dan Ryan,63rd
18,40990,69th,69th
19,40990,69th,69th
20,40240,79th,79th
21,40240,79th,79th
22,41430,87th,87th
23,41430,87th,87th
24,40450,95th-Dan Ryan,95th-Dan Ryan
25,40450,95th-Dan Ryan,95th-Ran Ryan
26,40680,Adams-Wabash,Adams-Wabash
27,40680,Adams-Wabash,Adams-Wabash
28,41440,Addison-Brown,Addison
29,41440,Addison-Brown,Addison
30,41420,Addison-North Main,Addison
31,41420,Addison-North Main,Addison
32,41240,Addison-O'Hare,Addison
33,41240,Addison-O'Hare,Addison
34,41200,Argyle,Argyle
35,41200,Argyle,Argyle
36,40660,Armitage,Armitage
37,40660,Armitage,Armitage
38,40290,Ashland-63rd,Ashland-63rd
39,40290,Ashland-63rd,Ashland-63rd
40,40170,Ashland-Lake,Ashland
41,40170,Ashland-Lake,Ashland
42,41060,Ashland-Orange,Ashland
43,41060,Ashland-Orange,Ashland
44,40010,Austin-Forest Park,Austin
45,40010,Austin-Forest Park,Austin
46,41260,Austin-Lake,Austin
47,41260,Austin-Lake,Austin
48,41320,Belmont-North Main,Belmont
49,41320,Belmont-North Main,Belmont
50,41320,Belmont-North Main,Belmont
51,41320,Belmont-North Main,Belmont
52,40060,Belmont-O'Hare,Belmont
53,40060,Belmont-O'Hare,Belmont
54,40340,Berwyn,Berwyn
55,40340,Berwyn,Berwyn
56,41380,Bryn Mawr,Bryn Mawr
57,41380,Bryn Mawr,Bryn Mawr
58,40440,California-Cermak,California
59,40440,California-Cermak,California
60,41360,California-Lake,California
61,41360,California-Lake,California
62,40570,California-Milwaukee,California
63,40570,California-Milwaukee,California
64,40780,Central Park,Central Park
65,40780,Central Park,Central Park
66,41250,Central-Evanston,Central
67,41250,Central-Evanston,Central
68,40280,Central-Lake,Central
69,40280,Central-Lake,Central
70,41000,Cermak-Chinatown,Cermak-Chinatown
71,41000,Cermak-Chinatown,Cermak-Chinatown
72,41690,Cermak-McCormick Place,Cermak-McCormick Place
73,41690,Cermak-McCormick Place,Cermak-McCormick Place
74,40710,Chicago-Franklin,Chicago
75,40710,Chicago-Franklin,Chicago
76,41410,Chicago-Milwaukee,Chicago
77,41410,Chicago-Milwaukee,Chicago
78,41450,Chicago-State,Chicago
79,41450,Chicago-State,Chicago
80,40420,Cicero-Cermak,Cicero
81,40420,Cicero-Cermak,Cicero
82,40970,Cicero-Forest Park,Cicero
83,40970,Cicero-Forest Park,Cicero
84,40480,Cicero-Lake,Cicero
85,40480,Cicero-Lake,Cicero
86,40630,Clark-Division,Clark-Division
87,40630,Clark-Division,Clark-Division
88,40380,Clark-Lake,Clark-Lake
89,40380,Clark-Lake,Clark-Lake
90,40380,Clark-Lake,Clark-Lake
91,40380,Clark-Lake,Clark-Lake
92,40430,Clinton-Forest Park,Clinton
93,40430,Clinton-Forest Park,Clinton
94,41160,Clinton-Lake,Clinton
95,41160,Clinton-Lake,Clinton
96,41670,Conservatory,Conservatory
97,41670,Conservatory,Conservatory
98,40230,Cumberland,Cumberland
99,40230,Cumberland,Cumberland
100,40090,Damen-Brown,Damen
101,40090,Damen-Brown,Damen
102,40210,Damen-Cermak,Damen
103,40210,Damen-Cermak,Damen
104,40590,Damen-Milwaukee,Damen
105,40590,Damen-Milwaukee,Damen
106,40050,Davis,Davis
107,40050,Davis,Davis
108,40690,Dempster,Dempster
109,40690,Dempster,Dempster
110,40140,Dempster-Skokie,Dempster-Skokie
111,40140,Dempster-Skokie,Dempster-Skokie
112,40530,Diversey,Diversey
113,40530,Diversey,Diversey
114,40320,Division-Milwaukee,Division
115,40320,Division-Milwaukee,Division
116,40720,East 63rd-Cottage Grove,Cottage Grove
117,40720,East 63rd-Cottage Grove,Cottage Grove
118,40390,Forest Park,Forest Park
119,40390,Forest Park,Forest Park
120,40520,Foster,Foster
121,40520,Foster,Foster
122,40870,Francisco,Francisco
123,40870,Francisco,Francisco
124,41220,Fullerton,Fullerton
125,41220,Fullerton,Fullerton
126,41220,Fullerton,Fullerton
127,41220,Fullerton,Fullerton
128,41170,Garfield-Dan Ryan,Garfield
129,41170,Garfield-Dan Ryan,Garfield
130,40510,Garfield-South Elevated,Garfield
131,40510,Garfield-South Elevated,Garfield
132,40490,Grand-Milwaukee,Grand
133,40490,Grand-Milwaukee,Grand
134,40330,Grand-State,Grand
135,40330,Grand-State,Grand
136,40760,Granville,Granville
137,40760,Granville,Granville
138,40940,Halsted-63rd,Halsted
139,40940,Halsted-63rd,Halsted
140,41130,Halsted-Orange,Halsted
141,41130,Halsted-Orange,Halsted
142,40980,Harlem-Forest Park,Harlem
143,40980,Harlem-Forest Park,Harlem
144,40020,Harlem-Lake,Harlem-Lake
145,40020,Harlem-Lake,Harlem-Lake
146,40750,Harlem-O'Hare,Harlem
147,40750,Harlem-O'Hare,Harlem
148,41490,Harrison,Harrison
