Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
HT100175,1/1/2011 1:30,001XX N STATE ST,560,ASSAULT,SIMPLE,CTA PLATFORM,FALSE,FALSE,122,42,08A,1176353,1900882,2011,41.88337668,-87.62787438,"(41.883376682, -87.627874384)",22,14310,38,580,36,41,22,88
HT101136,1/1/2011 17:16,004XX S RACINE AVE,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,1213,2,08B,1168451,1897951,2011,41.87550838,-87.65697569,"(41.875508384, -87.656975687)",48,14917,29,87,26,44,15,95
HT101202,1/1/2011 18:00,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT101240,1/1/2011 18:30,015XX N CLYBOURN AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,TRUE,FALSE,1822,43,3,1170470,1910783,2011,41.91067631,-87.64918707,"(41.910676312, -87.649187069)",51,22620,37,108,11,49,14,199
HT101962,1/2/2011 13:08,075XX N PAULINA AVE,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,CTA PLATFORM,TRUE,FALSE,2422,49,26,1163690,1950023,2011,42.01849825,-87.67298323,"(42.018498254, -87.672983233)",3,21853,10,489,5,9,11,32
HT102616,1/2/2011 23:45,016XX N DAMEN AVE,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,1434,32,6,1162771,1910740,2011,41.91072335,-87.6774715,"(41.910723346, -87.677471499)",16,22535,25,179,11,1,7,192
HT102954,1/2/2011 18:50,015XX N CLYBOURN AVE,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,1822,27,6,1170965,1910314,2011,41.9093785,-87.64738241,"(41.909378501, -87.647382412)",41,22620,37,108,46,54,14,199
HT103057,1/3/2011 11:30,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT101362,1/1/2011 21:24,003XX N CENTRAL AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,TRUE,FALSE,1512,29,3,1138977,1901868,2011,41.8868435,-87.76509882,"(41.886843497, -87.765098817)",52,22216,26,618,7,32,25,85
HT105442,1/4/2011 18:30,029XX E 83RD ST,440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,CTA PLATFORM,FALSE,FALSE,424,10,08B,1197469,1850510,2011,41.74465133,-87.55201855,"(41.744651331, -87.552018554)",47,21202,42,505,37,25,19,239
