,Station_Name,Station_ID,Station_Name_old,ADA,Red,Blue,Green,Brown,Purple,Purple_Express,Yellow,Pink,Orange,Historical_Wards_2003-2015,Zip_Codes,Community_Areas,Census_Tracts,Wards
0,18th,40830,18th,True,False,False,False,False,False,False,False,True,False,8.0,14920,33.0,343.0,26.0
1,18th,40830,18th,True,False,False,False,False,False,False,False,True,False,8.0,14920,33.0,343.0,26.0
2,35-Bronzeville-IIT,41120,35th-Bronzeville-IIT,True,False,False,True,False,False,False,False,False,False,12.0,21194,1.0,25.0,9.0
3,35-Bronzeville-IIT,41120,35th-Bronzeville-IIT,True,False,False,True,False,False,False,False,False,False,12.0,21194,1.0,25.0,9.0
4,35th-Archer,40120,35th-Archer,True,False,False,False,False,False,False,False,False,True,26.0,14924,56.0,719.0,1.0
5,35th-Archer,40120,35th-Archer,True,False,False,False,False,False,False,False,False,True,26.0,14924,56.0,719.0,1.0
6,43rd,41270,43rd,True,False,False,True,False,False,False,False,False,False,12.0,4301,4.0,162.0,9.0
7,43rd,41270,43rd,True,False,False,True,False,False,False,False,False,False,12.0,4301,4.0,162.0,9.0
8,47th-Dan Ryan,41230,47th,True,True,False,False,False,False,False,False,False,False,12.0,14924,3.0,189.0,9.0
9,47th-Dan Ryan,41230,47th,True,True,False,False,False,False,False,False,False,False,12.0,14924,3.0,189.0,9.0
10,47th-South Elevated,41080,47th,True,False,False,True,False,False,False,False,False,False,12.0,21192,4.0,448.0,9.0
11,47th-South Elevated,41080,47th,True,False,False,True,False,False,False,False,False,False,12.0,21192,4.0,448.0,9.0
12,51st,40130,51st,True,False,False,True,False,False,False,False,False,False,12.0,21192,4.0,449.0,9.0
13,51st,40130,51st,True,False,False,True,False,False,False,False,False,False,12.0,21192,4.0,449.0,9.0
14,54th-Cermak,40580,54th-Cermak,True,False,False,False,False,False,False,False,True,False,,4458,,,
15,54th-Cermak,40580,54th-Cermak,True,False,False,False,False,False,False,False,True,False,,4458,,,
16,63rd-Dan Ryan,40910,63rd,True,True,False,False,False,False,False,False,False,False,53.0,21559,66.0,166.0,4.0
17,63rd-Dan Ryan,40910,63rd,True,True,False,False,False,False,False,False,False,False,53.0,21559,66.0,166.0,4.0
18,69th,40990,69th,True,True,False,False,False,False,False,False,False,False,31.0,21559,67.0,513.0,32.0
19,69th,40990,69th,True,True,False,False,False,False,False,False,False,False,31.0,21559,67.0,513.0,32.0
20,79th,40240,79th,True,True,False,False,False,False,False,False,False,False,31.0,21554,40.0,1.0,32.0
21,79th,40240,79th,True,True,False,False,False,False,False,False,False,False,31.0,21554,40.0,1.0,32.0
22,87th,41430,87th,True,True,False,False,False,False,False,False,False,False,18.0,21554,40.0,1.0,13.0
23,87th,41430,87th,True,True,False,False,False,False,False,False,False,False,18.0,21554,40.0,1.0,13.0
24,95th-Dan Ryan,40450,95th-Dan Ryan,True,True,False,False,False,False,False,False,False,False,18.0,21861,45.0,187.0,13.0
